Num,Mt,Ad,Vdaf,"St,d",Hdaf,Cdaf,Odaf,Ro,V9-V13,G,X,Y,CRI,CSR
4_1,9.704,10.072,30.3666,1.2504,,,,,,78.12,30.18,16.956,34.7,44
4_2,9.5,10.105,30.0048,1.2371,,,,,,78.65,28.38,16.53,35.9,47.3
4_3,8.871,10.11,28.3756,1.2507,,,,,,74.87,27.08,16.01,33.1,45.5
4_4,9.704,10.072,30.3666,1.2504,,,,,,78.12,30.18,16.956,34.7,44
4_5,9.814,9.9106,28.9536,1.2776,,,,,,69.16,15.02,28.33,38.2,45.4
4_6,9.014,9.4428,27.7344,1.26,,,,,,67.08,28.33,15.02,39.5,43.3
4_7,9.136,10.4062,30.7354,1.4076,,,,,,80.94,31.628,15.408,37.1,45
4_8,7.812,8.466,22.6492,1.1436,,,,,,56.46,22.256,11.63,39.4,44.5
4_9,9.29,9.7908,29.4806,1.3218,,,,,,74.1,30.37,15.11,39.4,44.5
4_10,9.2,10.11,29.0454,1.5005,,,,,,74.72,28.627,16.12,39.2,43.3
4_11,9.464,10.1852,27.9906,1.4844,,,,,,67.24,25.866,14.29,38.2,47.1
4_12,9.496,10.3252,28.0034,1.5774,,,,,,71.98,25.638,15.48,35.5,48.7
4_13,9.424,10.0292,27.3054,1.5156,,,,,,63.68,22.304,13.6,42,37.1
4_14,9.516,10.5454,27.7995,1.4788,,,,,,66.92,25.667,13.97,37.6,44.7
4_15,10.7,10.56,27.35,1.49,,,,,,80,20.2,18.8,40,37.5
4_16,10.88,10.4072,27.6224,1.4716,,,,,,86.66,22.32,20.02,39.8,44.2
4_17,10.88,10.4072,27.6224,1.4716,,,,,,86.66,22.32,20.02,39.8,44.2
4_18,10.425,10.491,27.5002,1.4953,,,,,,78.99,17.43,20.87,,
4_19,10.425,10.491,27.5002,1.4953,,,,,,78.99,20.87,17.43,36.9,45.2
4_20,10.736,10.5852,27.023,1.5069,,,,,,76.43,16.51,16.77,38.2,45.1
4_21,10.744,10.3934,28.9368,1.448,,,,,,80.42,24.04,17.48,41.6,43.3
4_22,10.952,10.528,26.9646,1.5392,,,,,,74.95,18.516,16.32,35.4,47.9
4_23,10.852,10.466,27.3944,1.5026,,,,,,72.16,15.74,20.742,,
4_24,10.852,10.466,27.3944,1.5026,,,,,,72.16,20.742,15.74,38,44
4_25,10.76,10.5461,29.0478,1.5072,,,,,,75.11,17.32,24.89,,
4_26,10.76,10.5461,29.0478,1.5072,,,,,,75.11,24.89,17.32,41.3,38.2
4_27,10.852,10.4948,27.068,1.5134,,,,,,72.16,15.74,20.922,41.3,
4_28,10.852,10.4948,27.068,1.5134,,,,,,72.16,20.922,15.74,38.4,45.1
4_29,10.964,10.7822,28.7626,1.5169,,,,,,80.97,22.867,18.16,38,47
4_30,11.434,10.1748,28.8942,1.3596,,,,,,80.22,18.1,26.744,,
4_31,11.434,10.1748,28.8942,1.3596,,,,,,80.22,26.744,18.1,39.3,44.3
4_32,10.702,10.6546,29.5137,1.4,,,,,,82.93,18.42,29.109,,
4_33,10.702,10.6546,29.5137,1.4,,,,,,82.93,29.109,18.42,38.5,45
4_34,12.024,10.5808,29.2468,1.4428,,,,,,75.72,23.974,17.04,39.4,42.3
4_35,11.184,10.5344,29.2394,1.496,,,,,,81.54,28.532,18.72,43.9,44.2
4_36,11.584,10.3364,30.4992,1.4984,,,,,,87.96,27.202,20.19,40,43.8
4_37,11.256,10.5848,28.6766,1.492,,,,,,78.48,27.252,17.22,39.5,47.9
4_38,11.444,10.2024,29.6616,1.4288,,,,,,83.5,29.578,19.14,39.1,46.5
4_39,11.592,10.5552,29.96,1.4732,,,,,,85.52,26.092,19.56,38.7,45.8
4_40,10.784,9.824,28.3848,1.4451,,,,,,76.6,25.786,17.47,37.6,46.1
4_41,10.784,9.8768,29.6298,1.4955,,,,,,82,28.408,18.67,36.9,47
4_42,10.784,9.8064,27.9698,1.4283,,,,,,74.8,24.912,17.07,38.5,45
4_43,10.784,9.7888,27.5548,1.4115,,,,,,73,24.038,16.67,39.1,43.2
4_44,10.872,9.6262,27.9397,1.516,,,,,,75.09,23.967,17.36,39.3,44.9
4_45,11.238,10.33,28.2684,1.4234,,,,,,77.48,25.282,15.62,36.5,47.9
4_46,10.808,10.5528,29.3812,1.4434,,,,,,81.7,27.132,16.04,36,47.6
4_47,10.808,10.5528,29.3812,1.4434,,,,,,81.7,27.132,16.04,36,47.6
4_48,10.808,10.5528,29.3812,1.4434,,,,,,81.7,27.132,16.04,36,47.6
4_49,10.838,10.5356,28.7638,1.454,,,,,,79.42,24.604,14.38,36.6,48.3
4_50,10.838,10.5356,28.7638,1.4504,,,,,,79.42,14.38,24.604,,
4_51,10.838,10.5356,28.7638,1.4504,,,,,,79.42,24.604,14.38,36.6,48.3
4_52,11.146,10.4796,28.471,1.4942,,,,,,76.57,23.502,13.96,39.6,46.7
4_53,10.718,10.5284,28.5886,1.454,,,,,,77.06,24.932,13.42,39.1,42.3
4_54,10.884,10.3726,27.4742,1.7262,,,,,,76.18,21.64,13.98,35.4,45.9
4_55,11.442,10.5776,28.7678,1.4018,,,,,,80.82,22.78,13.48,37.5,43.1
4_56,11.216,10.5834,29.3236,1.4306,,,,,,86.92,25.39,16.01,40.6,41.8
4_57,11.277,10.4504,29.5825,1.394,,,,,,82.57,23.63,13.88,37.8,45.3
4_58,11.127,10.4585,29.4988,1.4336,,,,,,86.52,25.42,15.51,39,41.7
4_59,11.512,10.2578,28.068,1.424,,,,,,86.94,24.194,16.43,42.3,41.9
4_60,11.458,10.2438,27.2258,1.431,,,,,,86.02,22.9,15.65,42.3,41.9
4_61,10.99,10.2906,29.0053,1.4458,,,,,,80.67,23.34,16.33,36.6,47.7
4_62,11.001,10.3676,26.3866,1.4261,,,,,,72.32,21.47,13.46,34.4,48.8
4_63,11.19,10.5746,27.6221,1.419,,,,,,79.21,24.65,13.94,33.6,48.4
4_64,10.312,10.0466,28.524,1.4264,,,,,,88.14,27.554,17.63,37,47.5
4_65,10.435,10.2583,29.4408,1.4354,,,,,,80.83,30.37,14.92,33.2,52.7
4_66,11.215,10.5976,27.7221,1.5535,,,,,,79.36,24.25,14.24,,53
4_67,11.208,10.5971,27.5571,1.4375,,,,,,80.08,25.692,14.48,37,49.2
4_68,11.136,10.2578,28.4978,1.4249,,,,,,80.77,23.71,14.61,33.5,50.1
4_69,10.5,10.127,27.4444,1.448,,,,,,78.05,22.32,14.965,39.3,43
4_70,11.11,10.194,26.8524,1.4646,,,,,,69.54,23.7,13.33,33.6,48.7
4_71,11.125,10.442,28.1595,1.443,,,,,,77.79,23.47,13.05,34.2,50.2
4_72,10.334,10.5204,27.3982,1.4628,,,,,,80.06,22.43,15.46,40.1,42
4_73,11.205,10.535,28.4393,1.443,,,,,,77.48,12.86,21.07,,
4_74,11.23,10.48,27.5719,1.4421,,,,,,77.4,21.22,13.26,34.3,49.1
4_75,10.942,10.4458,29.4956,1.4356,,,,,,82.5,15.74,26.065,,
4_76,10.942,10.4458,29.4956,1.4356,,,,,,82.5,26.065,15.74,35.2,48.4
4_77,11.076,10.588,28.1423,1.4407,,,,,,78.74,22.62,14.32,35.2,48.7
4_78,11.184,10.604,28.0925,1.4087,,,,,,79.58,23.5,14.81,33,50.3
4_79,11.148,10.6348,28.2237,1.4325,,,,,,78.58,23.59,14.44,34.8,48.9
4_80,11.35,10.524,29.2557,1.4445,,,,,,86.78,25.655,16.495,37.5,45.6
4_81,11.35,10.524,29.2557,1.4445,,,,,,86.78,25.655,16.495,37.5,45.6
4_82,11.258,10.1443,28.4035,1.4464,,,,,,81,20.28,13.62,32.8,51.9
4_83,11.183,9.8648,28.2305,1.4304,,,,,,79.45,18.73,12.87,36.9,48.5
4_84,11.302,10.606,27.7084,1.5012,,,,,,83.9,15.93,22.525,,
4_85,11.366,10.706,27.9892,1.5078,,,,,,85.16,16.04,23.11,,
4_86,11.302,10.606,27.7084,1.5012,,,,,,83.9,22.525,15.93,33.3,48.6
4_87,11.218,10.3004,27.7954,1.5154,,,,,,81.66,14.9,22.92,,
4_88,11.218,10.3004,27.7954,1.5154,,,,,,81.66,22.92,14.9,33.4,49.7
4_89,11.269,10.312,27.9268,1.4477,,,,,,84.4,22.795,16.24,34,52
4_90,11.269,10.312,27.9268,1.4477,,,,,,84.4,22.795,16.24,34,52
4_91,11.218,10.3004,27.7954,1.5154,,,,,,81.66,22.92,14.9,33.4,49.7
4_92,11.497,10.3942,28.0942,1.4854,,,,,,83.686,22.07,15.651,36.9,48.4
4_93,11.161,10.2102,27.8995,1.4395,,,,,,84.57,23.38,15.915,37.8,44.8
4_94,11.497,10.3942,28.0942,1.4854,,,,,,83.686,22.07,15.651,33.4,
4_95,11.497,10.3942,28.0942,1.4854,,,,,,83.686,22.07,15.651,36.9,48.4
4_96,11.617,10.2938,27.9658,1.4718,,,,,,84.074,21.47,16.139,37.2,48.1
4_97,11.43,10.685,28.1143,1.4065,,,,,,87.61,23.365,16.65,35,48.7
4_98,11.459,10.4532,27.9048,1.4712,,,,,,83.97,15.92,22.82,,
4_99,11.459,10.4532,27.9048,1.4712,,,,,,83.97,22.82,15.92,35.6,48.2
4_100,11.71,10.436,27.418,1.478,,,,,,84.6,16.8,22,,
4_101,11.286,10.3827,27.5331,1.4637,,,,,,82.697,22.71,14.807,37.4,49.5
4_102,11.239,10.192,27.6118,1.4417,,,,,,76.48,20.93,14.38,36.2,51.5
4_103,11.119,10.2385,27.0748,1.4417,,,,,,75.43,20.93,14.38,37.1,49.3
4_104,11.77,10.592,28.729,1.3836,,,,,,86.96,20.7,16.61,37.8,48.1
4_105,11.852,10.482,28.3998,1.3972,,,,,,87.16,17.03,19.82,,
4_106,11.852,10.482,28.3998,1.3972,,,,,,87.16,19.82,17.03,34.3,52.2
4_107,11.466,10.3374,29.7164,1.2702,,,,,,84.08,15.72,22.73,,
4_108,11.542,10.392,29.306,1.2572,,,,,,86.38,16.07,22.94,,
4_109,11.542,10.392,29.306,1.2572,,,,,,86.38,22.94,16.07,35.2,51.2
4_110,11.025,10.6633,29.843,1.1465,,,,,,88.68,24.05,17.4,35,51.4
4_111,11.452,10.198,29.8918,1.3098,,,,,,85.94,24.34,16.17,41,43.5
4_112,11.626,10.178,29.1418,1.471,,,,,,86,22.28,16.42,35.1,49
4_113,11.26,10.298,27.8332,1.398,,,,,,76.44,14.52,20.62,,
4_114,10.61,10.434,26.5274,1.16,,,,,,71.96,19.22,13.28,36.2,47.6
4_115,10.61,10.434,26.5274,1.16,,,,,,71.96,13.28,19.22,,
4_116,10.68,9.984,28.1728,1.0264,,,,,,70.36,23.59,12.77,,
4_117,1.068,9.984,28.1728,1.0264,,,,,,70.36,23.59,12.77,38.9,43.3
4_118,10.755,10.1765,28.4308,1.0449,,,,,,73.61,23.19,13.345,,
4_119,10.755,10.1765,28.4308,1.0449,,,,,,73.61,23.19,13.345,34.7,51.5
4_120,10.61,10.434,26.5274,1.16,,,,,,71.96,19.22,13.28,36.2,47.6
4_121,10.7,9.8205,28.1913,1.0205,,,,,,67.19,12.185,24.14,,
4_122,10.85,10.45,26.9792,1.162,,,,,,74.44,20.25,13.99,35.9,51.3
4_123,10.9,10.525,26.7372,1.184,,,,,,74.84,20.25,13.99,34.3,49.1
4_124,10.98,10.14,27.5718,1.1728,,,,,,76.18,22.12,14.59,32,51.7
4_125,10.54,10.436,28.0666,1.2156,,,,,,76.34,23.05,14.63,34.3,49.5
4_126,10.26,10.249,29.6533,1.231,,,,,,80.52,25.155,15.57,33.9,51.3
4_127,10.26,10.249,29.6533,1.231,,,,,,80.52,25.155,15.57,33.9,51.3
4_128,11.14,10.6676,29.3492,1.2248,,,,,,78.8,25.46,14.86,37.4,44.5
3_1,,13.9,22.7,,,,,1.16,79,,,,30.5,56.7
3_2,,14.2,23.6,,,,,1.11,76,,,,32.2,57.2
3_3,,14.2,23.9,,,,,1.08,77,,,,31.3,56
3_4,,14.1,23.2,,,,,1.11,84,,,,31.8,56.3
3_5,,14.3,24.3,,,,,1.07,75,,,,33.2,56.7
3_6,,14.2,23.2,,,,,1.04,78,,,,27.5,56.2
3_7,,13.7,22.4,,,,,1.03,77,,,,29.9,52.9
3_8,,17.5,25.9,,,,,0.98,67,,,,33,47.4
3_9,,8.9,20.2,,,,,1.25,88,,,,27.2,64.1
3_10,,13.3,20.7,,,,,1.28,39,,,,29.9,61.4
3_11,,9.1,26.1,,,,,1.04,83,,,,52,18.8
3_12,,14.1,26,,,,,1,74,,,,31.8,50.8
3_13,,12.4,22.5,,,,,1.14,80,,,,29.4,61.1
3_14,,14.9,24.2,,,,,1.06,73,,,,29,58
3_15,,11.4,25,,,,,1.06,87,,,,41.7,40.2
3_16,,10.5,20.6,,,,,1.22,89,,,,29.6,61.8
3_17,,12.7,26,,,,,1.06,78,,,,29.7,56.7
3_18,,12.7,26,,,,,1.1,73,,,,30.7,50.8
3_19,,13.1,25.3,,,,,1.06,89,,,,27.2,59.8
3_20,,13.3,25.2,,,,,1,86,,,,27.1,61.9
3_21,,14.1,21.6,,,,,1.14,77,,,,30.1,50.3
3_22,,14,21.1,,,,,1.16,80,,,,31.4,46
3_23,,13.6,25.5,,,,,1.03,67,,,,34,45.7
3_24,,9.1,19.1,,,,,1.28,81,,,,34.7,48.1
3_25,,12.5,28.5,,,,,0.95,64,,,,38.2,45.5
3_26,,15.6,23.7,,,,,1.05,90,,,,26.4,65.8
3_27,,12.2,20.4,,,,,1.09,63,,,,31.8,52.9
3_28,,14.8,25.6,,,,,1.01,74,,,,24.4,65
3_29,,14.7,27.4,,,,,0.93,69,,,,26.2,64.5
3_30,,14.3,23.6,,,,,1.07,88,,,,26.8,66.9
3_31,,15.1,22.3,,,,,1.16,77,,,,29.2,59.2
3_32,,14.9,22.8,,,,,1.15,76,,,,29,58.9
3_33,,15,22.5,,,,,1.16,75,,,,27.4,60.4
3_34,,13.8,22.9,,,,,1.19,76,,,,27.7,56.6
3_35,,14,22.4,,,,,1.2,77,,,,26.4,58
3_36,,13.8,22.5,,,,,1.2,75,,,,26.3,57.9
